yob,sex,firstname,frequency,proportion
2023,F,Delilah,119,0.000829274
2023,F,Hazel,67,0.000466902
2023,F,Ayla,39,0.000271779
2023,F,Hannah,34,0.000236935
2023,F,Aurora,28,0.000195123
2023,F,Maggie,28,0.000195123
2023,F,Olive,25,0.000174217
2023,F,Hazel,244,0.00170036
2023,F,Aurora,124,0.000864118
2023,F,Audrey,116,0.000808368
2023,F,Eloise,83,0.000578401
2023,F,Maisie,63,0.000439027
2023,F,Elena,54,0.000376309
2023,F,Peyton,53,0.000369341
2023,F,Heidi,51,0.000355403
2023,F,Sadie,31,0.000216029
2023,F,Mackenzie,24,0.000167249
2023,F,Lara,18,0.000125436
2023,F,Sophie,203,0.001414644
2023,F,Alice,111,0.000773525
2023,F,Frankie,109,0.000759587
2023,F,Eva,77,0.000536589
2023,F,Layla,136,0.000947742
2023,F,Nora,116,0.000808368
2023,F,Olive,90,0.000627182
2023,F,Phoebe,79,0.000550526
2023,F,Piper,56,0.000390247
2023,F,Mia,64,0.000445996
2023,F,Matilda,56,0.000390247
2023,F,Ellie,48,0.000334497
2023,F,Lucy,42,0.000292685
2023,F,Pippa,27,0.000188155
2023,F,Aubrey,21,0.000146342
2023,F,Elsie,125,0.000871086
2023,F,Olivia,381,0.002655071
2023,F,Lily,279,0.001944264
2023,F,Ava,196,0.001365863
2023,F,Lucy,151,0.001052272
2023,F,Elizabeth,75,0.000522652
2023,F,Lilly,55,0.000383278
2023,F,Margot,52,0.000362372
2023,F,Lilah,19,0.000132405
2023,F,Harriet,108,0.000752618
2023,F,Maggie,58,0.000404184
2023,F,Bonnie,117,0.000815337
2023,F,Summer,93,0.000648088
2023,F,Imogen,76,0.00052962
2023,F,Ellie,141,0.000982585
2023,F,Addison,71,0.000494777
2023,F,Aubrey,52,0.000362372
2023,F,Isla,112,0.000780493
2023,F,Willow,55,0.000383278
2023,F,Eva,22,0.000153311
2023,F,Isabelle,97,0.000675963
2023,F,Aurora,133,0.000926836
2023,F,Maisie,83,0.000578401
2023,F,Violet,164,0.001142865
2023,F,Emily,94,0.000655057
2023,F,Evie,56,0.000390247
2023,F,Isabella,197,0.001372832
2023,F,Georgia,126,0.000878055
2023,F,Harlow,59,0.000411153
2023,F,Isla,403,0.002808382
2023,F,Sienna,236,0.001644611
2023,F,Frankie,137,0.00095471
2023,F,Scarlett,131,0.000912898
2023,F,Rose,90,0.000627182
2023,F,Maryam,76,0.00052962
2023,F,Maeve,44,0.000306622
2023,F,Margot,34,0.000236935
2023,F,Grace,254,0.001770047
2023,F,Maya,137,0.00095471
2023,F,Ellie,110,0.000766556
2023,F,Emilia,103,0.000717775
2023,F,Adeline,67,0.000466902
2023,F,Elizabeth,65,0.000452965
2023,F,Ivy,208,0.001449487
2023,F,Hazel,193,0.001344957
2023,F,Evelyn,170,0.001184677
2023,F,Hallie,89,0.000620213
2023,F,Savannah,59,0.000411153
2023,F,Bella,56,0.000390247
2023,F,Lily,61,0.00042509
2023,F,Eleanor,37,0.000257842
2023,F,Abigail,21,0.000146342
2023,F,Eloise,21,0.000146342
2023,F,Savannah,17,0.000118468
2023,F,Zoe,187,0.001303145
2023,F,Maeve,145,0.00101046
2023,F,Hallie,90,0.000627182
2023,F,Eliana,84,0.00058537
2023,F,Kiara,74,0.000515683
2023,F,Layla,139,0.000968648
2023,F,Zoe,38,0.00026481
2023,F,Madeline,16,0.000111499
2023,F,Nora,15,0.00010453
2023,F,Chloe,213,0.001484331
2023,F,Aaliyah,84,0.00058537
2023,F,Remi,94,0.000655057
2023,F,Emma,70,0.000487808
2023,F,Paisley,61,0.00042509
2023,F,Amelia,67,0.000466902
2023,F,Ella,234,0.001630673
2023,F,Summer,86,0.000599307
2023,F,Aaliyah,70,0.000487808
2023,F,Freya,154,0.001073178
2023,F,Olive,111,0.000773525
2023,F,Maggie,53,0.000369341
2023,F,Ruby,42,0.000292685
2023,F,Ruby,182,0.001268302
2023,F,Elsie,156,0.001087116
2023,F,Eloise,110,0.000766556
2023,F,Lola,102,0.000710806
2023,F,Addison,71,0.000494777
2023,F,Georgia,32,0.000222998
2023,F,Cleo,65,0.000452965
2023,F,Sophie,193,0.001344957
2023,F,Audrey,166,0.001156802
2023,F,Daisy,149,0.001038335
2023,F,Mila,148,0.001031366
2023,F,Stella,78,0.000543558
2023,F,Scarlett,31,0.000216029
2023,F,Lyla,16,0.000111499
2023,F,Audrey,161,0.001121959
2023,F,Margot,92,0.000641119
2023,F,Nora,91,0.000634151
2023,F,Charlotte,338,0.002355417
2023,F,Isabella,244,0.00170036
2023,F,Harper,220,0.001533112
2023,F,Imogen,86,0.000599307
2023,F,Eliana,55,0.000383278
2023,F,Ella,252,0.00175611
2023,F,Violet,183,0.00127527
2023,F,Hannah,123,0.000857149
2023,F,Sadie,109,0.000759587
2023,F,Rosie,84,0.00058537
2023,F,Ruby,141,0.000982585
2023,F,Quinn,60,0.000418121
2023,F,Delilah,65,0.000452965
2023,F,Quinn,59,0.000411153
2023,F,Isabella,168,0.00117074
2023,F,Sadie,110,0.000766556
2023,F,Zara,83,0.000578401
2023,F,Emilia,66,0.000459934
2023,F,Gia,15,0.00010453
2023,F,Ruby,185,0.001289208
2023,F,Remi,131,0.000912898
2023,F,Mia,203,0.001414644
2023,F,Aurora,110,0.000766556
2023,F,Evelyn,267,0.00186064
2023,F,Bella,72,0.000501746
2023,F,Audrey,34,0.000236935
2023,F,Eloise,104,0.000724744
2023,F,Abigail,96,0.000668994
2023,F,Elsie,121,0.000843211
2023,F,Isabelle,102,0.000710806
2023,F,Lola,71,0.000494777
2023,F,Aaliyah,51,0.000355403
2023,F,Aria,42,0.000292685
2023,F,Alice,30,0.000209061
2023,F,Phoebe,26,0.000181186
2023,F,Ivy,193,0.001344957
2023,F,Heidi,66,0.000459934
2023,F,Margot,80,0.000557495
2023,F,Gracie,54,0.000376309
2023,F,Layla,50,0.000348434
2023,F,Abigail,99,0.0006899
2023,F,Frankie,96,0.000668994
2023,F,Mabel,21,0.000146342
2023,F,Violet,131,0.000912898
2023,F,Ariana,53,0.000369341
2023,F,Matilda,261,0.001818828
2023,F,Sofia,226,0.001574924
2023,F,Athena,69,0.00048084
2023,F,Willow,191,0.00133102
2023,F,Lucy,142,0.000989554
2023,F,Savannah,67,0.000466902
2023,F,Alice,102,0.000710806
2023,F,Phoebe,96,0.000668994
2023,F,Zoe,108,0.000752618
2023,F,Harriet,30,0.000209061
2023,F,Stella,29,0.000202092
2023,F,Lottie,27,0.000188155
2023,F,Hallie,24,0.000167249
2023,F,Evie,169,0.001177709
2023,F,Penelope,125,0.000871086
2023,F,Ada,59,0.000411153
2023,F,Mackenzie,113,0.000787462
2023,F,Ariana,78,0.000543558
2023,F,Callie,75,0.000522652
2023,F,Charlotte,279,0.001944264
2023,F,Mackenzie,126,0.000878055
2023,F,Millie,49,0.000341466
2023,F,Emma,18,0.000125436
2023,F,Aria,142,0.000989554
2023,F,Eliza,55,0.000383278
2023,F,Florence,182,0.001268302
2023,F,Georgia,137,0.00095471
2023,F,Savannah,83,0.000578401
2023,F,Zahra,71,0.000494777
2023,F,Billie,126,0.000878055
2023,F,Maya,22,0.000153311
2023,F,Imogen,19,0.000132405
2023,F,Eden,17,0.000118468
2023,F,Esther,17,0.000118468
2023,F,Brooklyn,15,0.00010453
2023,F,Matilda,256,0.001783985
2023,F,Billie,147,0.001024397
2023,F,Sophia,267,0.00186064
2023,F,Zara,156,0.001087116
2023,F,Elizabeth,77,0.000536589
2023,F,Mila,52,0.000362372
2023,F,Freya,39,0.000271779
2023,F,Peyton,21,0.000146342
2023,F,Nina,65,0.000452965
