year,sex,name,frequency,proportion
2023,F,Albie,3,
2023,F,Anae,3,
2023,F,Anastasia-ioana,3,
2023,F,Andreya,3,
2023,F,Anh,3,
2023,F,Aradhana,3,
2023,F,Aranya,3,
2023,F,Araya-rose,3,
2023,F,Ava-lynn,3,
2023,F,Duaa-noor,3,
2023,F,Evannah,3,
2023,F,Evanthia,3,
2023,F,Fox,3,
2023,F,Gabby,3,
2023,F,Hayzel,3,
2023,F,Helsa,3,
2023,F,Iha,3,
2023,F,Imogen-grace,3,
2023,F,Ionie,3,
2023,F,Jillian,3,
2023,F,Kaelyn,3,
2023,F,Kavinaya,3,
2023,F,Lariyah,3,
2023,F,Maivie,3,
2023,F,Marah,3,
2023,F,Maramawit,3,
2023,F,Medine,3,
2023,F,Muneeba,3,
2023,F,Musfira,3,
2023,F,Navika,3,
2023,F,Nellie-marie,3,
2023,F,Nuri,3,
2023,F,Ozinna,3,
2023,F,Raene,3,
2023,F,Riannon,3,
2023,F,Rozina,3,
2023,F,Savana,3,
2023,F,Shylah,3,
2023,F,Ummul,3,
2023,F,Arbnora,3,
2023,F,Blimy,3,
2023,F,Bryn,3,
2023,F,Daphney,3,
2023,F,Duchess,3,
2023,F,Emillia,3,
2023,F,Etana,3,
2023,F,Faela,3,
2023,F,Henna,3,
2023,F,Hermon,3,
2023,F,Hiba-noor,3,
2023,F,Hidaayah,3,
2023,F,Indica,3,
2023,F,Ireayomide,3,
2023,F,Janki,3,
2023,F,Kameelah,3,
2023,F,Keturah,3,
2023,F,Lillah,3,
2023,F,Lunna,3,
2023,F,Mallorie,3,
2023,F,Maniha,3,
2023,F,Marly,3,
2023,F,Mya-grace,3,
2023,F,Nehal,3,
2023,F,Oaklie,3,
2023,F,Oceann,3,
2023,F,Ottoline,3,
2023,F,Reizel,3,
2023,F,Suhailah,3,
2023,F,Tahirah,3,
2023,F,Tracy,3,
2023,F,Tvisha,3,
2023,F,Zahlia,3,
2023,F,Zuza,3,
2023,F,A'isha,3,
2023,F,Akemi,3,
2023,F,Aseelah,3,
2023,F,Ayiah,3,
2023,F,Bonnibelle,3,
2023,F,Bonnie-bleu,3,
2023,F,Bonnie-ray,3,
2023,F,Ellie-grace,3,
2023,F,Emila,3,
2023,F,Eugenie,3,
2023,F,Ezma,3,
2023,F,Florina,3,
2023,F,Gracie-lee,3,
2023,F,Hareer,3,
2023,F,Harlie-mae,3,
2023,F,Huriya,3,
2023,F,Ihana,3,
2023,F,Illiana,3,
2023,F,Jersey-rae,3,
2023,F,Jodh,3,
2023,F,Kimia,3,
2023,F,Lady,3,
2023,F,Lerryn,3,
2023,F,Loriana,3,
2023,F,Moya,3,
2023,F,Mya-rae,3,
2023,F,Niyara,3,
2023,F,Ocean-mae,3,
2023,F,Raadiyah,3,
2023,F,Raz,3,
2023,F,Rhoswen,3,
2023,F,Riley-mae,3,
2023,F,Rosa-may,3,
2023,F,Sada,3,
2023,F,Sophia-may,3,
2023,F,Sylvana,3,
2023,F,Tasmia,3,
2023,F,Toluwalase,3,
2023,F,Valentina-mae,3,
2023,F,Yashal,3,
2023,F,Zunayra,3,
2023,F,Adelaine,3,
2023,F,Adeleine,3,
2023,F,Alanta,3,
