year,sex,name,frequency,proportion
2023,F,Aileana,5,2.7808544842808028e-06
2023,F,Aimy,5,2.7808544842808028e-06
2023,F,Ameah,5,2.7808544842808028e-06
2023,F,Arelli,5,2.7808544842808028e-06
2023,F,Bailani,5,2.7808544842808028e-06
2023,F,Benji,5,2.7808544842808028e-06
2023,F,Bryah,5,2.7808544842808028e-06
2023,F,Bryla,5,2.7808544842808028e-06
2023,F,Demitria,5,2.7808544842808028e-06
2023,F,Everlyee,5,2.7808544842808028e-06
2023,F,Haliyah,5,2.7808544842808028e-06
2023,F,Helem,5,2.7808544842808028e-06
2023,F,Jashly,5,2.7808544842808028e-06
2023,F,Jaspen,5,2.7808544842808028e-06
2023,F,Jleigh,5,2.7808544842808028e-06
2023,F,Kassiah,5,2.7808544842808028e-06
2023,F,Kaylla,5,2.7808544842808028e-06
2023,F,Ky,5,2.7808544842808028e-06
2023,F,Kymberlee,5,2.7808544842808028e-06
2023,F,Leloni,5,2.7808544842808028e-06
2023,F,Marianny,5,2.7808544842808028e-06
2023,F,Mariapaz,5,2.7808544842808028e-06
2023,F,Marleaux,5,2.7808544842808028e-06
2023,F,Mayoni,5,2.7808544842808028e-06
2023,F,Miguel,5,2.7808544842808028e-06
2023,F,Mikiya,5,2.7808544842808028e-06
2023,F,Oakleymae,5,2.7808544842808028e-06
2023,F,Ripleigh,5,2.7808544842808028e-06
2023,F,Roziya,5,2.7808544842808028e-06
2023,F,Samaia,5,2.7808544842808028e-06
2023,F,Sapna,5,2.7808544842808028e-06
2023,F,Sayona,5,2.7808544842808028e-06
2023,F,Scottlynd,5,2.7808544842808028e-06
2023,F,Selyna,5,2.7808544842808028e-06
2023,F,Seriniti,5,2.7808544842808028e-06
2023,F,Shahed,5,2.7808544842808028e-06
2023,F,Shire,5,2.7808544842808028e-06
2023,F,Suhaani,5,2.7808544842808028e-06
2023,F,Talis,5,2.7808544842808028e-06
2023,F,Terriyah,5,2.7808544842808028e-06
2023,F,Wenona,5,2.7808544842808028e-06
2023,F,Yarleny,5,2.7808544842808028e-06
2023,F,Yina,5,2.7808544842808028e-06
2023,F,Adan,5,2.7808544842808028e-06
2023,F,Ahnylah,5,2.7808544842808028e-06
2023,F,Angele,5,2.7808544842808028e-06
2023,F,Braylinn,5,2.7808544842808028e-06
2023,F,Canela,5,2.7808544842808028e-06
2023,F,Carlena,5,2.7808544842808028e-06
2023,F,Daleyah,5,2.7808544842808028e-06
2023,F,Dawna,5,2.7808544842808028e-06
2023,F,Deidre,5,2.7808544842808028e-06
2023,F,Deniya,5,2.7808544842808028e-06
2023,F,Dublin,5,2.7808544842808028e-06
2023,F,Eile,5,2.7808544842808028e-06
2023,F,Elroi,5,2.7808544842808028e-06
