sex,name,max_country,freq_in_max_country,prop_in_max_country,births_in_max_country,total_anglosphere_births,countries_using_name,total_babies_with_name,average_usage_globally,average_usage_outside_country,countryness
M,Rioghan,Northern Ireland,15,4.8001228831458085e-05,312492,73732633.5,2,51,6.91688301083129e-07,4.9032866546572921e-07,97.896028138320332
F,Abaigh,Northern Ireland,15,4.8001228831458085e-05,312492,73732633.5,2,52,7.0525081679064124e-07,5.0394890617311057e-07,95.25018953998736
M,Sean-paul,Northern Ireland,17,5.4401392675652495e-05,312492,73732633.5,3,48,6.51000753960592e-07,4.2222746192882233e-07,128.8438047755958
F,Lile,Northern Ireland,17,5.4401392675652495e-05,312492,73732633.5,4,81,1.098563772308499e-06,8.716954052724074e-07,62.408717938179215
F,Meah,Northern Ireland,19,6.0801556519846905e-05,312492,73732633.5,5,823,1.1161950427282649e-05,1.0950673528734618e-05,5.55231204366593
M,Cailum,Northern Ireland,20,6.4001638441944114e-05,312492,73732633.5,4,120,1.62750188490148e-06,1.3620240707381366e-06,46.990093506393762
M,Breandan,Northern Ireland,20,6.4001638441944114e-05,312492,73732633.5,2,48,6.51000753960592e-07,3.8136673980667824e-07,167.82176252283489
F,Nainsi,Northern Ireland,20,6.4001638441944114e-05,312492,73732633.5,3,29,3.9331295551785762e-07,1.225821663664323e-07,522.11215007104181
M,Jamie-lee,Northern Ireland,21,6.7201720364041322e-05,312492,73732633.5,4,413,5.6013189872025929e-06,5.3391343572934955e-06,12.586632189212615
F,Naomh,Northern Ireland,21,6.7201720364041322e-05,312492,73732633.5,2,43,5.8318817542303024e-07,2.9964529556239006e-07,224.27090082597024
M,Tajus,Northern Ireland,21,6.7201720364041322e-05,312492,73732633.5,4,331,4.4891926991865819e-06,4.2222746192882239e-06,15.915999413455951
F,Mea,Northern Ireland,21,6.7201720364041322e-05,312492,73732633.5,5,787,1.0673699861812205e-05,1.0433104381854126e-05,6.4412008070122
M,John-james,Northern Ireland,21,6.7201720364041322e-05,312492,73732633.5,3,268,3.6347542096133049e-06,3.3641994547231974e-06,19.975545822556054
F,Rionagh,Northern Ireland,22,7.040180228613853e-05,312492,73732633.5,2,31,4.204379869328823e-07,1.225821663664323e-07,574.323365078146
M,Connaire,Northern Ireland,22,7.040180228613853e-05,312492,73732633.5,3,55,7.4593836391317824e-07,4.4946794334358506e-07,156.63364502131256
F,Mallaidh,Northern Ireland,24,7.6801966130332934e-05,312492,73732633.5,2,38,5.1537559688546861e-07,1.9068336990333912e-07,402.77223005480369
M,Calaeb,Northern Ireland,24,7.6801966130332934e-05,312492,73732633.5,2,30,4.0687547122537e-07,8.17214442442882e-08,939.80187012787519
F,Riadh,Northern Ireland,24,7.6801966130332934e-05,312492,73732633.5,2,79,1.0714387408934742e-06,7.4911323890597512e-07,102.5238403775864
